data,tempo,valor
04/04/2025,18:06,"R$ 134,60"
04/04/2025,19:07,"R$ 134,51"
07/04/2025,16:05,"R$ 132,63"
07/04/2025,18:06,"R$ 133,72"
07/04/2025,19:07,"R$ 133,60"
08/04/2025,14:07,"R$ 132,87"
09/04/2025,20:31,"R$ 132,99"
19/04/2025,15:03,"R$ 142,30"
22/04/2025,14:07,"R$ 144,94"
22/04/2025,15:20,"R$ 145,05"
22/04/2025,15:27,"R$ 144,99"
22/04/2025,16:05,"R$ 145,20"
22/04/2025,18:13,"R$ 144,97"
22/04/2025,18:25,"R$ 145,15"
23/04/2025,15:02,"R$ 145,33"
24/04/2025,14:06,"R$ 146,62"
24/04/2025,16:06,"R$ 147,05"
24/04/2025,18:06,"R$ 147,07"
24/04/2025,19:06,"R$ 146,83"
25/04/2025,09:04,"R$ 147,00"
26/04/2025,10:05,"R$ 147,06"
28/04/2025,10:06,"R$ 147,15"
28/04/2025,14:07,"R$ 146,96"
28/04/2025,16:06,"R$ 146,79"
29/04/2025,09:02,"R$ 146,69"
29/04/2025,16:05,"R$ 147,39"
29/04/2025,19:03,"R$ 147,25"
30/04/2025,12:06,"R$ 147,97"
30/04/2025,14:06,"R$ 148,07"
30/04/2025,15:04,"R$ 148,60"
30/04/2025,16:06,"R$ 148,85"
30/04/2025,18:07,"R$ 148,90"
30/04/2025,19:07,"R$ 148,98"
02/05/2025,12:05,"R$ 147,25"
03/05/2025,10:04,"R$ 147,33"
05/05/2025,14:19,"R$ 147,00"
05/05/2025,16:22,"R$ 145,84"
05/05/2025,18:10,"R$ 145,29"
05/05/2025,19:18,"R$ 144,55"
06/05/2025,11:18,"R$ 143,88"
06/05/2025,12:05,"R$ 143,42"
06/05/2025,18:05,"R$ 142,05"
07/05/2025,11:05,"R$ 142,20"
07/05/2025,12:06,"R$ 142,38"
07/05/2025,14:07,"R$ 141,80"
07/05/2025,15:05,"R$ 141,84"
07/05/2025,16:04,"R$ 141,82"
10/05/2025,10:04,"R$ 144,00"
12/05/2025,10:04,"R$ 143,49"
12/05/2025,11:06,"R$ 143,66"
12/05/2025,12:06,"R$ 144,41"
12/05/2025,14:06,"R$ 144,47"
12/05/2025,15:04,"R$ 144,73"
12/05/2025,18:06,"R$ 145,26"
13/05/2025,11:05,"R$ 145,22"
13/05/2025,12:06,"R$ 144,85"
13/05/2025,14:06,"R$ 145,97"
13/05/2025,15:04,"R$ 146,84"
13/05/2025,16:05,"R$ 146,55"
13/05/2025,18:06,"R$ 147,00"
13/05/2025,21:06,"R$ 146,70"
14/05/2025,14:06,"R$ 146,73"
14/05/2025,15:04,"R$ 146,50"
14/05/2025,16:05,"R$ 146,16"
14/05/2025,18:05,"R$ 146,57"
14/05/2025,19:06,"R$ 146,50"
15/05/2025,11:05,"R$ 147,29"
15/05/2025,14:07,"R$ 146,54"
15/05/2025,17:30,"R$ 146,64"
15/05/2025,17:42,"R$ 146,99"
15/05/2025,18:07,"R$ 146,98"
15/05/2025,18:33,"R$ 147,09"
16/05/2025,10:04,"R$ 146,99"
16/05/2025,11:05,"R$ 147,22"
16/05/2025,12:06,"R$ 147,23"
16/05/2025,14:06,"R$ 147,28"
16/05/2025,15:04,"R$ 147,35"
16/05/2025,15:19,"R$ 147,37"
16/05/2025,15:46,"R$ 147,39"
16/05/2025,15:50,"R$ 147,40"
16/05/2025,16:03,"R$ 147,39"
16/05/2025,16:05,"R$ 147,26"
16/05/2025,16:26,"R$ 147,08"
16/05/2025,16:35,"R$ 147,23"
16/05/2025,16:43,"R$ 147,37"
16/05/2025,16:54,"R$ 147,29"
16/05/2025,17:45,"R$ 147,25"
16/05/2025,19:06,"R$ 147,12"
19/05/2025,21:08,"R$ 146,14"
22/05/2025,12:06,"R$ 143,56"
22/05/2025,18:06,"R$ 143,70"
26/05/2025,11:05,"R$ 144,00"
26/05/2025,16:05,"R$ 143,98"
26/05/2025,18:05,"R$ 144,88"
26/05/2025,19:06,"R$ 143,93"
27/05/2025,12:06,"R$ 144,40"
27/05/2025,18:06,"R$ 144,69"
27/05/2025,19:07,"R$ 144,70"
28/05/2025,11:05,"R$ 144,49"
28/05/2025,19:06,"R$ 144,95"
29/05/2025,12:06,"R$ 146,14"
29/05/2025,16:05,"R$ 146,10"
29/05/2025,19:07,"R$ 146,35"
30/05/2025,15:05,"R$ 146,44"
30/05/2025,16:06,"R$ 146,65"
30/05/2025,16:41,"R$ 146,60"
30/05/2025,16:47,"R$ 146,74"
30/05/2025,17:00,"R$ 146,50"
30/05/2025,17:07,"R$ 146,94"
30/05/2025,23:19,"R$ 146,35"
02/06/2025,15:03,"R$ 144,92"
02/06/2025,15:33,"R$ 144,44"
02/06/2025,17:04,"R$ 143,93"
02/06/2025,18:10,"R$ 143,70"
02/06/2025,21:06,"R$ 143,69"
03/06/2025,15:02,"R$ 146,09"
03/06/2025,15:33,"R$ 146,18"
03/06/2025,17:03,"R$ 146,15"
03/06/2025,21:05,"R$ 146,11"
04/06/2025,15:02,"R$ 146,42"
04/06/2025,15:33,"R$ 146,46"
04/06/2025,17:03,"R$ 146,40"
04/06/2025,21:06,"R$ 146,33"
05/06/2025,09:03,"R$ 146,63"
05/06/2025,15:02,"R$ 147,16"
05/06/2025,15:33,"R$ 147,30"
05/06/2025,17:04,"R$ 147,23"
05/06/2025,21:06,"R$ 146,60"
06/06/2025,09:03,"R$ 147,40"
06/06/2025,14:11,"R$ 147,55"
06/06/2025,15:02,"R$ 147,31"
06/06/2025,15:33,"R$ 147,16"
06/06/2025,17:03,"R$ 147,21"
06/06/2025,21:06,"R$ 147,05"
09/06/2025,09:03,"R$ 147,17"
09/06/2025,14:12,"R$ 144,76"
09/06/2025,14:38,"R$ 144,66"
09/06/2025,15:02,"R$ 144,47"
09/06/2025,17:04,"R$ 144,63"
09/06/2025,17:34,"R$ 144,29"
09/06/2025,18:11,"R$ 144,65"
09/06/2025,21:06,"R$ 144,80"
10/06/2025,11:10,"R$ 143,73"
10/06/2025,14:13,"R$ 144,12"
12/06/2025,11:10,"R$ 141,07"
12/06/2025,14:00,"R$ 140,50"
12/06/2025,18:11,"R$ 141,64"
12/06/2025,20:13,"R$ 140,90"
13/06/2025,18:59,"R$ 144,50"
16/06/2025,11:10,"R$ 144,81"
21/06/2025,10:08,"R$ 143,33"
23/06/2025,11:10,"R$ 143,40"
23/06/2025,18:58,"R$ 142,30"
24/06/2025,10:09,"R$ 142,05"
24/06/2025,14:12,"R$ 142,39"
27/06/2025,14:11,"R$ 143,92"
27/06/2025,14:55,"R$ 144,00"
01/07/2025,16:09,"R$ 144,22"
01/07/2025,16:43,"R$ 144,09"
01/07/2025,17:21,"R$ 144,30"
02/07/2025,10:53,"R$ 142,33"
03/07/2025,15:47,"R$ 144,63"
03/07/2025,16:08,"R$ 144,57"
04/07/2025,13:54,"R$ 144,99"
09/07/2025,22:53,"R$ 144,15"
17/07/2025,14:40,"R$ 145,07"
07/08/2025,21:43,"R$ 139,84"
11/08/2025,21:02,"R$ 138,41"
13/08/2025,16:09,"R$ 137,43"
20/08/2025,10:56,"R$ 137,51"
20/08/2025,14:38,"R$ 137,38"
09/09/2025,10:10,"R$ 143,15"
10/09/2025,12:12,"R$ 141,50"
10/09/2025,14:15,"R$ 142,64"
10/09/2025,14:37,"R$ 142,93"
